first,last,birth,N
A,F,1859,0
A,F,1860,0
A,F,1861,3
A,F,1862,2
A,F,1863,0
A,F,1864,3
A,F,1865,0
A,F,1866,4
A,F,1867,7
A,F,1868,8
A,F,1869,18
A,F,1870,23
A,F,1871,33
A,F,1872,58
A,F,1873,70
A,F,1874,96
A,F,1875,149
A,F,1876,155
A,F,1877,149
A,F,1878,198
A,F,1879,265
A,F,1880,348
A,F,1881,437
A,F,1882,499
A,F,1883,562
A,F,1884,687
A,F,1885,746
A,F,1886,832
A,F,1887,922
A,F,1888,1097
A,F,1889,1125
A,F,1890,1183
A,F,1891,1238
A,F,1892,1475
A,F,1893,1533
A,F,1894,1521
A,F,1895,1596
A,F,1896,1702
A,F,1897,1579
A,F,1898,1687
A,F,1899,1674
A,F,1900,1884
A,F,1901,1907
A,F,1902,1985
A,F,1903,2194
A,F,1904,2169
A,F,1905,2273
A,F,1906,2310
A,F,1907,2400
A,F,1908,2398
A,F,1909,2359
A,F,1910,2495
A,F,1911,2522
A,F,1912,2490
A,F,1913,2486
A,F,1914,2601
A,F,1915,2448
A,F,1916,2416
A,F,1917,2359
A,F,1918,2394
A,F,1919,2211
A,F,1920,2235
A,F,1921,2277
A,F,1922,2048
A,F,1923,1965
A,F,1924,1859
A,F,1925,1721
A,F,1926,1614
A,F,1927,1428
A,F,1928,1316
A,F,1929,1229
A,F,1930,1076
A,F,1931,959
A,F,1932,941
A,F,1933,875
A,F,1934,796
A,F,1935,725
A,F,1936,630
A,F,1937,593
A,F,1938,565
A,F,1939,554
A,F,1940,476
A,F,1941,481
A,F,1942,485
A,F,1943,389
A,F,1944,371
A,F,1945,375
A,F,1946,338
A,F,1947,357
A,F,1948,304
A,F,1949,322
A,F,1950,300
A,F,1951,262
A,F,1952,223
A,F,1953,205
A,F,1954,211
A,F,1955,206
A,F,1956,166
A,F,1957,169
A,F,1958,137
A,F,1959,146
A,F,1960,128
A,F,1961,104
A,F,1962,90
A,F,1963,78
A,F,1964,72
A,F,1965,76
A,F,1966,63
A,F,1967,58
A,F,1968,50
A,F,1969,51
A,F,1970,36
A,F,1971,26
A,F,1972,32
A,F,1973,37
A,F,1974,26
A,F,1975,25
A,F,1976,27
A,F,1977,23
A,F,1978,23
A,F,1979,20
A,F,1980,29
A,F,1981,15
A,F,1982,22
A,F,1983,14
A,F,1984,16
A,F,1985,11
A,F,1986,7
A,F,1987,7
A,F,1988,10
A,F,1989,12
A,F,1990,7
A,F,1991,3
A,F,1992,4
A,F,1993,3
